香草[香草]	xiang1cao3	noun vanilla 香草冰激凌 xiāngcǎo bīngjilíng vanilla ice cream
替身[替身]	ti4shen1	noun 1 substitute; replacement; stand-in 2 scapegoat
帽檐[帽檐]	mao4yan2	noun hat brim
塞子[塞子]	sai1zi5	noun stopper; plug; spigot; cork
矣[矣]	yi3	auxiliary classical 1 [at the end of a sentence like 了 le] 悔之晚矣。 Huǐzhīwǎnyǐ. It’s too late for regrets. 2 [in exclamatory sentences] 毒矣哉！ Dú yǐ zāi! Diabolical! or How ruthless!
负荷[負荷]	fu4he4	noun load (that a person or machine is expected to perform); work load 超负荷 chāofùhè overload 满负荷 mǎn fùhè full-load  verb literary carry on one's back or shoulder; bear; shoulder 负荷重任 fùhè zhòngrèn shoulder important responsibilities
吊牌[吊牌]	diao4pai2	tag
细分[細分]	xi4fen1	1 subdivision 2 segmentation
宕[宕]	dang4	verb literary delay 延宕 yándàng procrastinate
礁[礁]	jiao1	noun reef; rock 礁岩 jiāoyán reef rock 触礁 chùjiāo strike a reef
藻[藻]	zao3	noun 1 algae 2 aquatic plants 3 literary embel-lishment 辞藻 cízǎo diction; rhetoric
蒂[蒂]	di4	noun base of a fruit 并蒂莲 bìngdìlián twin lotus flowers on one stalk
玟[玟]	wen2	veins in jade
玟[玟]	min2	noun literary jade-like stone
蒙恩[蒙恩]	meng2en1	to receive favor
抬头[抬頭]	tai2//tou2	verb 1 raise one's head 抬头一看 táitóu yī kàn look up 2 gain ground; look up; rise  noun commerce (on receipts, bills, etc.) name of the buyer or payee, or space for filling in such a name  verb begin a new line, as a mark of respect, when mentioning the addressee in letters, official correspondence, etc.
配额[配額]	pei4e2	noun quota 出口配额 Chūkǒu pèi'é export quota 进口配额 jìnkǒu pèi'é import quota 全球配额 quán qiú pèi é global quotas
领海[領海]	ling3hai3	noun territorial waters (or sea) (opp. 公海)
不虞匮乏[不虞匱乏]	bu4 yu2 kui4fa2	fear no shortage of material resources; not worry about running out of supplies
预卜[預卜]	yu4bu3	verb foretell; foresee; predict 预卜吉凶 Yù bǔ jí-xiōng try to predict good or bad fortune 预卜命运 yùbǔ mìngyùn prophesy fate 结果如何尚难预卜。 Jiéguǒ rúhé shàng nán yù bǔ. The result is hard to foretell.
显灵[顯靈]	xian3//ling2	verb (of a ghost or spirit) make its presence or power felt; manifest
衣钵[衣缽]	yi1bo1	noun Buddhism cassock and alms bowl; kasaya and patra; monk's mantle and alms bowl (which he hands down to his favourite disciple); legacy 继承衣钵 Jìchéng yībō inherit the mantle of sb.
打破砂锅问到底[打破砂鍋問到底]	da3po4 sha1guo1 wen4 dao4di3	well-known phrase insist on getting to the bottom of the matter 这孩子老爱打破砂锅问到底。 Zhè háizi lǎo ài dǎpòshāguōwèndàodǐ. The child always asks why until he knows everything.
显而易见[顯而易見]	xian3er2yi4jian4	idiom obviously; evidently; clearly 何以如此, 原因显而易见。 Héyǐ rúcǐ, yuányīn xiǎn'éryìjiàn. The reason why so is quite obvious.
甘之如饴[甘之如飴]	gan1zhi1-ru2yi2	idiom enjoy sth. bitter as if it were malt sugar—gladly endure hardship
汐[汐]	xi1	noun tide during the night; night-tide 潮汐 cháoxī the tides
软骨[軟骨]	ruan3gu3	noun anatomy cartilage; soft bone
鲍鱼[鮑魚]	bao4yu2	noun 1 archaic salted fish 2 ichthyology abalone
花心[花心]	hua1xin1	adjective colloquial MET center of a flower LIT promiscuous; romantic (in love); unfaithful; infidel 花心男人 huāxīn nánren man who falls in love easily; unfaithful man 他心很花。 Tāxīn hěn huā. He frequently changes his lover.
花枝[花枝]	hua1zhi1	1 spray (sprig of a plant with blossoms) 2 squid (on dining menus) 3 (literary) beautiful woman
唇舌[唇舌]	chun2she2	noun words; argument 费唇舌 fèi chúnshé take a lot of talking (or explaining) 你这是白费唇舌。 Nǐ zhè shì báifèi chúnshé. You are wasting your breath.
绍兴[紹興]	Shao4xing1	noun Shaoxing (a city in Zhejiang Province)
花雕[花雕]	hua1diao1	noun high-grade Shaoxing (绍兴) wine
晚香玉[晚香玉]	wan3xiang1yu4	noun botany tuberose 晚香玉油 wǎnxiāngyù yóu tuberose oil
坠子[墜子]	zhui4zi5	noun dialect 1 weight; plummet; pendant 2 ear pendant  noun 1 VARIANT OF 36742656坠琴zhui4qin2坠琴 music zhuiqin; urheen (a kind of bowed instrument) 2 folk art ballad singing to the accompaniment of the zhuiqin (坠琴), popular in Henan Province
银耳[銀耳]	yin2er3	noun tremella (Tremella fuciformis)
戚[戚]	Qi1	surname Qi
风湿症[風濕症]	feng1shi1zheng4	rheumatism; rheumatic disease
郁金香[鬱金香]	yu4jin1xiang1	noun botany tulip (Tulipa gesneriana)
簪[簪]	zan1	noun hairpin 碧玉簪 bì yùzān jade hairpin  verb wear in one's hair 簪花 zānhuā wear flowers in one’s hair
公馆[公館]	gong1guan3	noun dated residence (of the rich or prominent); mansion 周公馆 zhōu gōng guǎn The Zhou residence
钜子[鉅子]	ju4zi3	1 tycoon 2 magnate
实业[實業]	shi2ye4	noun industry and commerce; enterprise; business
寸头[寸頭]	cun4tou2	noun crew cut 留寸头 Liú cùn tóu wear a crew cut 我要理个寸头。 Wǒ yào lǐ ge cùn tóu. I want my hair cropped short.
周遭[週遭]	zhou1zao1	noun surrounding area 周遭静悄悄的, 不见一个人。 zhōuzāo jìngqiāoqiāo de, bùjiàn yī gèrén. It was very quiet all around with nobody in sight. 山围故国周遭在, 潮打空城寂寞回。(刘禹锡《石头城》) Shān wéi gùguó zhōuzāo zài, cháo dǎ kōngchéng jìmò huí. Hills surround the ancient kingdom; they never change. | The tide beats against the empty city, and silently, silently returns.
厝[厝]	cuo4	verb literary 1 lay; place 2 place a coffin in a temporary shelter pending burial  noun dialect house; building
雅房[雅房]	ya3fang2	1 apartment (with shared bathroom and kitchen) 2 bedsit
坪[坪]	ping2	noun level ground 草坪 cǎopíng lawn 停机坪 tíngjīpíng aircraft parking area; parking apron  measure word ping (unit of area used in Japan, Hong Kong, Taiwan, etc., roughly equal to 3.3 square metres)
稀罕[稀罕]	xi1han5	adjective rare; scarce; uncommon 骆驼在南方是稀罕的东西。 Luòtuo zài nánfāng shì xīhan de dōngxi. Camels are a rare sight in the south.  verb value as a rarity; cherish 你看不上, 我还稀罕呢。 Nǐ kànbushàng, wǒ hái xīhan ne. You may not care, but I do. 谁稀罕你的臭钱？ Shuí xīhan nǐ de chòuqián? Who cares about your lousy money?  noun novelty; rarity 看稀罕儿 kàn xīhan r watch a novelty; curious 这么大的人参可是个稀罕儿。 zhème dà de rénshēn kěshì ge xīhan r. Such a big ginseng root is certainly a rarity.
黑死病[黑死病]	hei1si3bing4	noun plague; Black Death
强弩之末[強弩之末]	qiang2nu3zhi1mo4	idiom an arrow at the end of its flight—a spent force 强弩之末, 力不能入鲁缟。(《汉书》) qiángnǔzhīmò, lì bù néng rù lǔ gǎo. (《Hànshū》) When the arrow is spent, it cannot break fine silk.
职守[職守]	zhi2shou3	noun post; duty 忠于职守 zhōngyúzhíshǒu faithfully discharge one’s duties; fulfill one’s duty
瘀青[瘀青]	yu1qing1	1 bruise 2 contusion
前戏[前戲]	qian2xi4	foreplay
平辈[平輩]	ping2bei4	noun persons of the same generation
击掌[擊掌]	ji1//zhang3	verb 1 clap (one's hands); applaud 击掌为号 jīzhǎngwéihào signal by clapping hands 2 strike sb.'s palms with one's own (to make a vow) 击掌为盟 jīzhǎng wéi méng clap each other’s hands to vow alliance
护贝[護貝]	hu4bei4	(stationery) to laminate (Tw)
色香味俱全[色香味俱全]	se4xiang1wei4ju4quan2	to smell, look and taste great
俱全[俱全]	ju4quan2	adjective literary complete; entire 店里商品俱全。 diàn lǐ shāngpǐn jùquán. The store stocks everything.
色相[色相]	se4xiang4	noun 1 (usu. of a woman) sexual charms; sexual appeal 出卖色相 Chūmài sèxiàng sell one’s charms 2 colours of the spectrum—red, orange, yellow, green, blue, indigo, and violet 3 Buddhism form and aspect
撇步[撇步]	pie1bu4	1 trick (of the trade) 2 clever move 3 (Taiwanese, POJ pr. [phiat-pōo])
显学[顯學]	xian3xue2	noun literary 1 famous theory or school of thought 2 field of research that draws much attention; popular subject
乳糜泻[乳糜瀉]	ru3mi2xie4	celiac disease
焉知[焉知]	yan1zhi1	(literary) how is one to know?
黄鳝[黃鱔]	huang2shan4	noun zoology ricefield eel; finless eel
龙虎斗[龍虎鬥]	long2hu3dou4	idiom the dragon fights the tiger—be well matched; be equal in strength  noun foodstuffs Longhudou (name of a dish)
无独有偶[無獨有偶]	wu2du2-you3ou3	idiom usually pejorative rare but not unique
渲染[渲染]	xuan4ran3	verb 1 Chinese painting add washes of ink or colour to a drawing 2 play up; exaggerate; dramatize; pile it on 渲染战争的恐怖 xuànrǎn zhànzhēng de kǒngbù play up the horrors of war 一件小事情, 用不着这么渲染。 Yī jiàn xiǎo shìqing, yòngbuzháo zhème xuànrǎn. No need to exaggerate a trifling matter like that. 轻快的舞蹈给这场戏渲染了欢乐气氛。 Qīngkuài de wǔdǎo gěi zhè chǎng xì xuànrǎn le huānlè qìfēn. The lively dance heightened the joyous atmosphere of the scene.
躺枪[躺槍]	tang3qiang1	1 (Internet slang) to get unjustly ridiculed, attacked, implicated in sth etc while just being present 2 abbr. for 躺着也中枪tǎngzheyězhòngqiāng [躺着也中枪]
充斥[充斥]	chong1chi4	verb pejorative flood; congest; be full of 市场上一度充斥着劣质商品。 Shìchǎng shàng yīdù chōngchì zhe lièzhì shāngpǐn. The markets were flooded with shoddy goods.
臆测[臆測]	yi4ce4	verb conjecture; surmise; guess
炒作[炒作]	chao3zuo4	verb 1 hype sth. up; sensationalize 大肆炒作 dàsì chǎozuò excessive, exaggerated publicity 2 speculate in (stocks, e.g.)
不计[不計]	bu4ji4	verb disregard; not take into account 不计报酬 bù jì bàochou not consider remuneration; regardless (or irrespective) of pay 不计成败 bù jì chéng bài indifferent to success or failure; irrespective of success or failure 不计个人得失 Bù jì gèrén dé-shī disregard personal gain or loss
八面玲珑[八面玲瓏]	ba1mian4-ling2long2	idiom usually pejorative smooth and slick (in making social contacts) 他这个人八面玲珑, 谁也不得罪。 tā zhège rén bāmiànlínglóng, shuí yě bùdé zuì. He is a very smooth character and never offends anyone.
看低[看低]	kan4di1	verb colloquial look down on; belittle; underestimate; underrate; undervalue (opp. 看高)
卖弄[賣弄]	mai4nong5	verb show off; parade 卖弄风骚 màinong fēngsāo play the coquette; flirtatious 卖弄学问 Màinong xuéwen show off one’s learning; parade one’s knowledge 卖弄小聪明 màinong xiǎocōngming try to be smart; smart aleck
聒噪[聒噪]	guo1zao4	adjective dialect noisy; clamorous
御用[御用]	yu4yong4	adjective 1 for the use of the emperor 2 served as a tool; be in the pay of 御用报刊 Yùyòng bàokān hired (or controlled, paid) press
铁磁[鐵磁]	tie3ci2	noun physics ferromagnetic
恒温[恆溫]	heng2wen1	noun constant temperature
味蕾[味蕾]	wei4lei3	noun anatomy taste bud
变声[變聲]	bian4//sheng1	verb change of voice (at puberty); break
远航[遠航]	yuan3hang2	verb take an oceangoing voyage 扬帆远航 yángfān yuǎnháng sail to a distant place
奋进[奮進]	fen4jin4	verb advance bravely; go forward courageously 催人奋进 cuī rén fènjìn encourage sb. to progress bravely
勤则不匮[勤則不匱]	qin2ze2bu4kui4	If one is industrious, one will not be in want. (idiom)
革故鼎新[革故鼎新]	ge2gu4-ding3xin1	idiom discard the old and introduce the new
闽南[閩南]	Min3nan2	Minnan (southern Fujian)
